x,y,seed,agent
82578,1.1088853,1,PPO
82678,1.0987792200000002,1,PPO
82778,1.09762288,1,PPO
82878,1.13090632,1,PPO
82978,1.10399938,1,PPO
83078,1.0933810599999998,1,PPO
83178,1.1070303199999998,1,PPO
83278,1.08561122,1,PPO
83378,1.0885707800000002,1,PPO
83478,1.0706892,1,PPO
83578,1.07894502,1,PPO
83678,1.1049682800000002,1,PPO
83778,1.10533692,1,PPO
83878,1.113313,1,PPO
83978,1.11158408,1,PPO
84078,1.1074365,1,PPO
84178,1.10412488,1,PPO
84278,1.0894403199999998,1,PPO
84378,1.07448704,1,PPO
84478,1.0669597599999998,1,PPO
84578,1.0687347799999998,1,PPO
84678,1.0746799799999998,1,PPO
